name,place_id,address,rating,user_ratings_total,price_level,latitude,longitude,area,phone,website,opening_hours,types,photos,source,international_phone,reviews_summary
Five Finger Futsal & Cricket,ChIJyYMBPwAb6zkRPsPpr3l6H-M,"P95C+GFM, Gothatar Marg, Kageshwori Manohara 44600, Nepal",5.0,3,0,27.7095043,85.3715508,Bhaktapur,976-7993377,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,+977 976-7993377,★5: Regular Game place 🔥🔥... | ★5: Good ground and environment... | ★5: Grateful...
Faidhoka Futsal,ChIJUxkDqCMb6zkRrDxDrHlyJ3c,"MCQ4+6XW, Atharvanagar Road, Changunarayan, Nepal",4.6,23,0,27.6872654,85.4064408,Bhaktapur,984-1049067,,,"point_of_interest, establishment",1,Google Places API,+977 984-1049067,★4: New futsal in the town. Same as duwakot kmc futsal ground but small space at the sides of the playin... | ★5: Best futsal for tournament and everythings... | ★5: Enjoy with natural beautiful view plus football ❤️...
Madhyapur Youth Association Ground,ChIJfSkTUWoa6zkR7k3W925wtH4,"M9JH+HFR, Bhaktapur Road, Madhyapur Thimi 44600, Nepal",4.5,11,0,27.6814949,85.3786397,Bhaktapur,,,Monday: 6:00 AM – 6:00 PM; Tuesday: 6:00 AM – 6:00 PM; Wednesday: 6:00 AM – 6:00 PM; Thursday: 6:00 AM – 6:00 PM; Friday: 6:00 AM – 6:00 PM; Saturday: 6:00 AM – 6:00 PM; Sunday: 6:00 AM – 6:00 PM,"point_of_interest, establishment",1,Google Places API,,★4: Enjoy good time playing ⚽ with your kids.... | ★5: Very peaceful for hanging sports.... | ★5: Nice...
Northpoint futsal,ChIJmadDjk0b6zkRSJYwYpk3g-M,"M9RQ+3X3, Bode Nyumola Marg, Madhyapur Thimi 44600, Nepal",4.3,27,0,27.690127,85.3899181,Bhaktapur,984-3368269,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 984-3368269,★5: One of a well managed futsal in Bhaktapur.. We can really enjoy a lot playing there .... | ★5: Highly affordable rate and nice well maintained futsal in bhaktapur... | ★2: It could have been better but not so good....
Players Futsal Banepa,ChIJVRdctk4F6zkRsGoHHEO1PJI,"Banepa -4, Nala, बनेपा 45210, Nepal",4.2,19,0,27.6502532,85.51046439999999,Bhaktapur,984-1605821,,Monday: 5:00 AM – 8:00 PM; Tuesday: 5:00 AM – 8:00 PM; Wednesday: 5:00 AM – 8:00 PM; Thursday: 5:00 AM – 8:00 PM; Friday: 5:00 AM – 8:00 PM; Saturday: 5:00 AM – 8:00 PM; Sunday: 5:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 984-1605821,"★4: Banepa Futsal offers a prime location near Nala Police Station, just 3 km from Banepa. With well-mai... | ★5: Highly recommended... | ★5: 6A side awesome but remaining construction not completed so do this in time...."
Shooters Futsal,ChIJRUiZIqYa6zkRYxAdRr5GsTY,"Araniko Highway 101, Bhaktapur 44800, Nepal",4.0,170,0,27.6665029,85.42670079999999,Bhaktapur,984-9926610,,Monday: 7:00 AM – 8:00 PM; Tuesday: 7:00 AM – 8:00 PM; Wednesday: 7:00 AM – 8:00 PM; Thursday: 7:00 AM – 8:00 PM; Friday: 7:00 AM – 8:00 PM; Saturday: Open 24 hours; Sunday: 7:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 984-9926610,"★4: Went there, it's good, plenty of parking for two wheelers, cafe, and other playing stuffs including ... | ★4: I have been playing Futsal here since 2016, Because it's a great place and a ground is perfect... | ★3: Good environment. Good playing turf. Spacious parking for 2 wheeler..."
Madhyapur Youth Association - Madhyapur Football Ground,ChIJAx_SV2oa6zkRtmxRDlhMr70,"M9JH+J7Q, Bhaktapur Road, Madhyapur Thimi 44600, Nepal",4.0,83,0,27.6815937,85.3782427,Bhaktapur,,,Monday: 5:00 AM – 8:00 PM; Tuesday: 5:00 AM – 8:00 PM; Wednesday: 5:00 AM – 8:00 PM; Thursday: 5:00 AM – 8:00 PM; Friday: 5:00 AM – 8:00 PM; Saturday: 5:00 AM – 8:00 PM; Sunday: 5:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,,★5: Great place for both cricket and football to play . Nice place to get some fresh air at evening... | ★4: Good for morning and evening walk...weekend playground for kids... | ★4: Good place for casual running and exercises....
Countryside Recreation Centre Private Limited / Sirutar Futsal,ChIJUx4dh0ob6zkRXHLwgKIB8wY,"Force Park Bus Stop, M93G+RJW, F091, अनन्तलिङ्गेश्वर 44600, Nepal",4.0,4,0,27.6545932,85.3765608,Bhaktapur,986-0976204,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 986-0976204,★5: ... | ★5: ... | ★3: ...
Gokarneshwor Futsal and Fitness Club,ChIJWedYGqMb6zkRIVtxkcWBj2g,"Unnamed Road, P9HM+M96, गोकर्णेश्वर 44600, Nepal",3.9,96,0,27.7275434,85.3802256,Bhaktapur,985-1009498,,Monday: 5:00 AM – 8:00 PM; Tuesday: 5:00 AM – 8:00 PM; Wednesday: 5:00 AM – 8:00 PM; Thursday: 5:00 AM – 8:00 PM; Friday: 5:00 AM – 8:00 PM; Saturday: 5:00 AM – 8:00 PM; Sunday: 5:00 AM – 8:00 PM,"gym, health, point_of_interest, establishment",1,Google Places API,+977 985-1009498,"★4: Futsal is clean and well grass are new like and it is big.
Worth it money for all. Also gym..... | ★4: Well managed, clean and large futsal court with a spacious compound.... highly recommended for boudd... | ★5: Very nice futsal ground aswell as very good fitness equipments for Muscle gain. Very big facilities ..."
SR FUTSAL,ChIJfb7qeCcJ6zkRgPDfruYpDkE,"Dhulikhel, Nepal",3.9,208,0,27.618148,85.5329373,Bhaktapur,985-1243574,,Monday: 5:00 AM – 9:30 PM; Tuesday: 5:00 AM – 9:30 PM; Wednesday: 5:00 AM – 9:30 PM; Thursday: 5:00 AM – 9:30 PM; Friday: 5:00 AM – 9:30 PM; Saturday: 5:00 AM – 9:30 PM; Sunday: 5:00 AM – 9:30 PM,"point_of_interest, establishment",1,Google Places API,+977 985-1243574,"★3: So, let's breakdown this into components.

Turf: The turf is quite frankly not in the best of condit... | ★3: It is located nearby Kathmandu University in a 15 minutes walk. There are 2 playground within a roof... | ★3: Very good place to get together and enjoy playing football......"
